ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain
1,1978,Master,Single,106781.46,1,0,2012-11-05,9,1239.89,63.8,283.33,30.8,23.08,430.77,5,6,6,13,10,0,0,0,0,0,1,0
2,1997,Graduation,Widow,51945.54,0,0,2018-01-09,203,649.99,111.25,237.24,255.63,24.39,633.06,3,10,1,18,12,0,1,0,0,0,0,0
3,1945,Master,Widow,95469.04,0,1,2014-10-02,54,1487.79,67.88,259.94,302.44,112.65,0.0,8,10,6,8,13,0,1,0,0,0,0,0
4,1979,Master,Divorced,81569.47,0,2,2017-05-23,238,1687.73,104.06,341.23,66.3,58.99,254.89,4,10,4,15,6,0,0,0,0,0,0,1
5,1993,Master,Single,82476.76,1,1,2013-07-14,25,1183.47,40.35,167.45,282.89,9.95,67.72,10,13,2,20,14,0,0,1,0,1,0,0
6,1944,Master,Married,122819.87,2,1,2013-03-05,201,1372.67,117.19,620.72,173.4,57.85,56.51,5,9,2,9,14,0,1,0,1,0,0,0
7,1941,Graduation,Widow,74476.22,0,0,2019-09-03,111,995.85,36.55,199.63,188.34,44.1,192.33,6,13,5,13,16,0,0,0,0,0,1,0
8,1966,Master,Single,85844.81,0,0,2019-07-09,150,683.31,60.67,474.37,138.96,53.8,132.15,4,9,3,10,16,0,0,0,0,0,0,0
9,1990,Graduation,Divorced,79890.22,2,1,2015-06-25,179,2339.21,91.0,243.13,235.55,17.58,379.88,5,14,3,5,14,0,0,0,0,0,0,0
10,1976,Master,Single,72272.68,1,0,2015-09-17,161,1730.63,114.41,279.82,117.06,24.79,131.27,4,9,6,18,11,0,0,0,0,0,0,0
11,1961,Graduation,YOLO,72105.36,1,0,2012-02-21,234,868.43,43.86,421.88,77.46,26.1,339.97,3,8,1,13,19,0,0,0,0,0,0,0
12,1991,Basic,Divorced,24569.52,1,2,2015-11-27,291,870.49,90.44,432.11,102.2,32.86,581.38,3,11,4,10,16,0,0,0,0,0,1,0
13,1956,Basic,Married,32886.38,1,2,2015-11-08,198,770.78,124.74,334.76,83.3,19.02,541.54,6,10,2,11,19,1,1,0,1,0,1,1
14,1993,Master,Married,73840.19,0,0,2014-07-10,113,397.26,72.02,449.64,67.61,89.58,372.82,8,12,2,16,12,0,0,0,0,0,0,0
15,1973,Graduation,Married,77281.12,0,2,2013-08-08,236,1712.12,69.27,154.65,38.77,36.52,344.55,8,9,3,13,9,0,0,0,0,0,0,0
16,1952,Graduation,Married,80661.92,0,2,2019-04-05,93,1587.82,63.91,430.56,232.1,59.02,670.05,7,11,0,10,8,0,1,0,0,0,0,0
17,1983,Master,Married,92598.03,1,1,2013-09-07,179,814.25,166.05,244.93,69.82,55.27,451.23,5,9,1,13,9,1,0,1,0,1,0,0
18,1986,PhD,Together,91934.7,0,0,2015-05-20,281,1006.24,91.93,298.22,276.8,58.15,807.1,5,10,2,12,21,0,0,0,0,0,0,0
19,1968,2n Cycle,Married,38942.77,1,1,2016-08-06,70,559.27,57.11,347.71,96.0,89.74,897.1,2,10,3,13,11,0,0,0,0,0,0,0
20,1942,PhD,Together,95976.14,1,2,2015-12-13,25,973.51,53.42,258.04,120.34,86.03,399.21,8,10,5,18,18,0,0,0,0,0,1,0
21,1959,Graduation,Single,78759.66,0,1,2013-01-09,52,1168.87,66.38,296.07,68.47,30.77,337.27,2,3,4,11,15,0,0,0,0,0,0,0
22,1995,Graduation,Divorced,46003.3,0,2,2017-08-14,119,278.72,104.43,126.44,43.25,15.73,186.98,6,13,3,9,12,0,0,1,0,0,0,0
23,1983,Graduation,Together,70127.49,0,1,2015-03-17,186,1839.16,113.28,212.11,135.63,115.62,602.74,5,2,1,11,18,0,0,0,0,0,0,0
